unit_number,cycle,T24,T30,T50,P30,Ps30,phi,BPR,W31,W32
1.0,1.0,555.3200073242188,1358.6099853515625,1137.22998046875,194.63999938964844,42.02000045776367,183.05999755859375,9.346099853515625,14.729999542236328,8.807100296020508
1.0,2.0,549.9000244140625,1353.219970703125,1125.780029296875,138.50999450683594,42.20000076293945,130.4199981689453,9.377400398254395,10.40999984741211,6.266499996185303
1.0,3.0,537.3099975585938,1256.760009765625,1047.449951171875,175.7100067138672,36.689998626708984,164.22000122070312,10.894100189208984,14.079999923706055,8.672300338745117
1.0,4.0,549.510009765625,1354.030029296875,1126.3800048828125,138.4600067138672,41.959999084472656,130.72000122070312,9.352800369262695,10.59000015258789,6.470099925994873
1.0,5.0,537.0700073242188,1257.7099609375,1047.9300537109375,175.0500030517578,36.88999938964844,164.30999755859375,10.896300315856934,14.130000114440918,8.528599739074707
1.0,6.0,537.02001953125,1266.3800048828125,1048.719970703125,175.1699981689453,36.779998779296875,164.27000427246094,10.891200065612793,14.279999732971191,8.559000015258789
1.0,7.0,549.739990234375,1347.449951171875,1127.18994140625,138.7100067138672,42.189998626708984,130.49000549316406,9.375300407409668,10.619999885559082,6.422699928283691
1.0,8.0,607.4400024414062,1481.68994140625,1252.3599853515625,334.4100036621094,44.27000045776367,315.1099853515625,9.236900329589844,24.329999923706055,14.79889965057373
1.0,9.0,549.3300170898438,1348.22998046875,1127.449951171875,138.05999755859375,42.29999923706055,130.97000122070312,9.387800216674805,10.6899995803833,6.380199909210205
1.0,10.0,549.3300170898438,1356.4000244140625,1127.1099853515625,138.6999969482422,42.02000045776367,130.5,9.395700454711914,10.569999694824219,6.2846999168396
1.0,11.0,549.8099975585938,1352.719970703125,1126.22998046875,137.80999755859375,42.04999923706055,130.41000366210938,9.387100219726562,10.510000228881836,6.339399814605713
1.0,12.0,642.7000122070312,1585.52001953125,1402.6300048828125,553.9299926757812,47.34000015258789,521.2899780273438,8.389200210571289,39.040000915527344,23.269399642944336
1.0,13.0,607.6699829101562,1488.739990234375,1256.0999755859375,335.3299865722656,44.43000030517578,314.7699890136719,9.196800231933594,24.399999618530273,14.720199584960938
1.0,14.0,549.469970703125,1352.68994140625,1121.199951171875,138.60000610351562,42.11000061035156,130.60000610351562,9.39050006866455,10.6899995803833,6.322999954223633
1.0,15.0,604.5700073242188,1501.719970703125,1305.969970703125,395.2099914550781,45.4900016784668,372.0299987792969,8.60789966583252,28.540000915527344,17.127199172973633
1.0,16.0,555.5599975585938,1362.4100341796875,1126.949951171875,194.44000244140625,41.7400016784668,182.77999877929688,9.323200225830078,14.960000038146973,8.944600105285645
1.0,17.0,536.25,1260.0699462890625,1053.0,175.2100067138672,36.72999954223633,164.52999877929688,10.861599922180176,14.069999694824219,8.593500137329102
1.0,18.0,555.4500122070312,1365.1500244140625,1135.6199951171875,193.77000427246094,41.97999954223633,182.72000122070312,9.341899871826172,14.989999771118164,8.967599868774414
1.0,19.0,549.0700073242188,1349.469970703125,1134.8199462890625,138.72000122070312,42.02000045776367,130.4199981689453,9.379799842834473,10.489999771118164,6.41949987411499
1.0,20.0,607.9000244140625,1482.43994140625,1255.75,334.42999267578125,44.43000030517578,314.8500061035156,9.262299537658691,24.459999084472656,14.660099983215332
1.0,21.0,549.6799926757812,1350.2900390625,1130.260009765625,137.92999267578125,42.279998779296875,129.97999572753906,9.382399559020996,10.5600004196167,6.398200035095215
